latitude,longitude,date,fire_occurred,temperature,humidity,wind_speed,rain_7d_sum,rain_30d_sum,temp_7d_avg,temp_30d_max,ndvi,rgb_image,ndvi_image
-8.99196,125.56883,2023-03-25,0,24.2,69,7.9,56.5,171.7,23.27142857142857,25.1,0.45957067608833313,2023-03-25_-899196_12556883_rgb.png,2023-03-25_-899196_12556883_ndvi.png
16.825,105.62562,2023-03-21,1,36.1,38,16.9,0.2,0.2,36.114285714285714,37.7,0.35448914766311646,2023-03-21_16825_10562562_rgb.png,2023-03-21_16825_10562562_ndvi.png
-8.7428,126.2579,2023-10-13,1,29.7,54,14.0,2.0,6.8,30.38571428571429,33.1,0.38043907284736633,2023-10-13_-87428_1262579_rgb.png,2023-10-13_-87428_1262579_ndvi.png
-9.38943,124.22372,2023-04-10,0,23.6,89,16.7,50.8,251.8,26.45714285714286,28.7,0.4680042564868927,2023-04-10_-938943_12422372_rgb.png,2023-04-10_-938943_12422372_ndvi.png
-9.0638,125.23186,2023-09-22,1,21.6,54,20.4,0.4,7.2,21.557142857142857,23.3,0.37056952714920044,2023-09-22_-90638_12523186_rgb.png,2023-09-22_-90638_12523186_ndvi.png
-8.93946,125.28874,2023-09-20,1,28.0,34,17.3,0.1,1.5000000000000002,28.785714285714285,29.9,0.326238751411438,2023-09-20_-893946_12528874_rgb.png,2023-09-20_-893946_12528874_ndvi.png
-9.05526,125.5334,2023-03-21,0,26.2,87,3.1,25.9,174.20000000000002,28.7,30.6,0.4863613545894623,2023-03-21_-905526_1255334_rgb.png,2023-03-21_-905526_1255334_ndvi.png
18.96982,101.44579,2023-03-05,1,26.5,52,5.4,0.0,11.999999999999998,28.414285714285715,32.8,0.2807155251502991,2023-03-05_1896982_10144579_rgb.png,2023-03-05_1896982_10144579_ndvi.png
20.18582,101.97428,2022-10-08,0,29.0,72,2.2,98.40000000000002,307.5,29.02857142857143,30.8,0.42772096395492554,2022-10-08_2018582_10197428_rgb.png,2022-10-08_2018582_10197428_ndvi.png
17.05836,105.40285,2023-03-11,1,33.2,35,9.8,0.0,2.0,31.514285714285712,35.9,0.3257972002029419,2023-03-11_1705836_10540285_rgb.png,2023-03-11_1705836_10540285_ndvi.png
-9.26583,124.42258,2023-03-20,0,29.5,67,9.0,39.6,191.6,28.857142857142858,29.5,0.3572419285774231,2023-03-20_-926583_12442258_rgb.png,2023-03-20_-926583_12442258_ndvi.png
-8.65649,125.549,2023-09-27,1,28.5,27,18.6,0.0,3.3,28.585714285714285,29.2,0.39492252469062805,2023-09-27_-865649_125549_rgb.png,2023-09-27_-865649_125549_ndvi.png
19.8262,102.57627,2023-04-06,1,29.5,29,7.6,1.0,47.2,28.957142857142856,30.4,0.2714760899543762,2023-04-06_198262_10257627_rgb.png,2023-04-06_198262_10257627_ndvi.png
20.43575,100.42033,2023-03-20,1,30.5,45,7.4,10.6,20.7,30.7,33.8,0.40602225065231323,2023-03-20_2043575_10042033_rgb.png,2023-03-20_2043575_10042033_ndvi.png
20.03728,101.49216,2023-02-28,1,23.1,44,3.3,1.2000000000000002,10.8,24.357142857142858,27.5,0.23358899354934692,2023-02-28_2003728_10149216_rgb.png,2023-02-28_2003728_10149216_ndvi.png
19.8262,102.57627,2022-10-08,0,24.0,69,1.1,23.0,232.1,24.514285714285712,26.0,0.41550296545028687,2022-10-08_198262_10257627_rgb.png,2022-10-08_198262_10257627_ndvi.png
-9.31051,124.37504,2023-04-11,0,27.9,82,12.1,44.9,202.8,28.714285714285715,30.8,0.4507695734500885,2023-04-11_-931051_12437504_rgb.png,2023-04-11_-931051_12437504_ndvi.png
19.29508,103.72874,2023-03-25,1,32.5,31,4.0,2.2,25.800000000000004,31.685714285714287,33.8,0.3675253689289093,2023-03-25_1929508_10372874_rgb.png,2023-03-25_1929508_10372874_ndvi.png
-9.05026,125.53159,2023-03-21,0,25.7,87,3.1,25.9,174.20000000000002,28.2,30.1,0.49384763836860657,2023-03-21_-905026_12553159_rgb.png,2023-03-21_-905026_12553159_ndvi.png
-8.65649,125.549,2023-03-31,0,21.5,93,5.7,53.8,186.00000000000003,24.02857142857143,25.1,0.3822306990623474,2023-03-31_-865649_125549_rgb.png,2023-03-31_-865649_125549_ndvi.png
19.86292,101.36524,2023-04-06,1,33.0,31,5.2,0.0,30.000000000000004,32.871428571428574,34.6,0.25572484731674194,2023-04-06_1986292_10136524_rgb.png,2023-04-06_1986292_10136524_ndvi.png
19.94362,101.85613,2023-03-27,1,32.7,39,3.3,0.1,23.4,33.614285714285714,34.7,0.28331294655799866,2023-03-27_1994362_10185613_rgb.png,2023-03-27_1994362_10185613_ndvi.png
